Age,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Total_EMI_per_month,Amount_invested_monthly,Credit_Mix_encoded,Payment_of_Min_Amount_encoded,Credit_Score_Good,Credit_Score_Poor,Credit_Score_Standard
-1.139819859764678,0.6718305266625363,-0.8591234730903367,-0.6753909658035029,0.31934719882447665,-1.0717050238422487,-0.12094536098831601,-0.47273778597937816,-0.41650554468907525,0.44747831117168035,1,0,1.0,0.0,0.0
-1.139819859764678,-0.769001376342508,-0.8591234730903367,-0.6753909658035029,0.31934719882447665,-1.0005183464068994,-0.02935442719383973,-0.47273778597937816,-0.41650554468907525,-1.0891568983298554,1,0,1.0,0.0,0.0
-1.139819859764678,0.6718305266625363,-0.8591234730903367,-0.6753909658035029,0.31934719882447665,-0.8581449915362003,-0.12094536098831601,-0.47273778597937816,-0.41650554468907525,-0.8848721604797479,1,0,1.0,0.0,0.0
-1.139819859764678,-0.769001376342508,-0.8591234730903367,-0.6753909658035029,0.31934719882447665,-1.2140783787129479,-0.10287201977689302,-0.47273778597937816,-0.41650554468907525,0.2421824792000871,1,0,1.0,0.0,0.0
-1.139819859764678,-0.769001376342508,-0.8591234730903367,-0.6753909658035029,0.31934719882447665,-1.2140783787129479,-0.11190869038260452,-0.47273778597937816,-0.41650554468907525,-1.250901807660753,1,0,0.0,0.0,1.0
-0.6481122526532667,-0.3155754902666628,-1.2429921554107521,-0.6753909658035029,-0.9713454579235193,-1.2140783787129479,-0.12094536098831601,-0.7037949481290621,-0.8169862301278754,-0.4778427010548961,1,0,0.0,0.0,1.0
-0.6481122526532667,-0.3155754902666628,-1.2429921554107521,-0.6753909658035029,-0.9713454579235193,-0.9293316689715498,-0.13450036689688327,-0.7037949481290621,-0.8169862301278754,-1.0991612529777772,1,0,1.0,0.0,0.0
-0.6481122526532667,0.6718305266625363,-1.2429921554107521,-0.6753909658035029,-0.9713454579235193,-1.2140783787129479,-0.12546369629117177,-0.7037949481290621,-0.8169862301278754,-0.526318687998474,1,0,1.0,0.0,0.0
-0.6481122526532667,-0.3155754902666628,-1.2429921554107521,-0.6753909658035029,-0.9713454579235193,-1.2140783787129479,-0.13450036689688327,-0.7037949481290621,-0.8169862301278754,-0.22675457549600314,1,0,1.0,0.0,0.0
-0.6481122526532667,-0.3155754902666628,-1.2429921554107521,-0.6753909658035029,-0.9713454579235193,-1.2140783787129479,-0.13901870219973902,-0.7037949481290621,-0.8169862301278754,-1.069155903981875,1,0,1.0,0.0,0.0
